Record Id,Shared To Id,Permission Type,Sharing Source,Shared By Id,Shared Time,Shared From Id,Share Related Records
zcrm_1920545000012401039,zcrm_1920545000001666003,,0,zcrm_1920545000000097003,2018-10-17 14:06:09,zcrm_1920545000009185058,0
zcrm_1920545000013420208,zcrm_1920545000001666003,,0,zcrm_1920545000000097003,2018-11-16 14:07:29,zcrm_1920545000009185058,0
zcrm_1920545000014905268,zcrm_1920545000001666003,,0,zcrm_1920545000000097003,2019-01-15 14:16:40,zcrm_1920545000009185058,0
zcrm_1920545000027754043,zcrm_1920545000001666011,,0,zcrm_1920545000001284001,2020-11-21 03:26:01,zcrm_1920545000031042014,0
zcrm_1920545000030771001,zcrm_1920545000001666011,,0,zcrm_1920545000001284001,2020-11-21 03:26:01,zcrm_1920545000031042014,0
zcrm_1920545000032180035,zcrm_1920545000001666011,,0,zcrm_1920545000001284001,2020-12-22 02:50:52,zcrm_1920545000027793022,0
zcrm_1920545000008551002,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000008614044,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000008616001,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000008958021,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000009452011,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000009508029,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000009975001,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000009975032,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000011575021,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000012075212,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000012429021,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000012573011,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000014261022,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000014929090,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000015735029,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-01-22 18:57:29,zcrm_1920545000008614022,0
zcrm_1920545000021363023,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-12-16 18:51:08,zcrm_1920545000014712011,0
zcrm_1920545000021368019,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-12-16 18:51:08,zcrm_1920545000014712011,0
zcrm_1920545000021695008,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2020-12-16 18:51:09,zcrm_1920545000014712011,0
zcrm_1920545000038648009,zcrm_1920545000002567031,,0,zcrm_1920545000016756022,2021-07-19 20:49:21,zcrm_1920545000038731016,0
zcrm_1920545000003882271,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:46,zcrm_1920545000003520015,0
zcrm_1920545000004832138,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:46,zcrm_1920545000003520015,0
zcrm_1920545000008325076,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:39,zcrm_1920545000008325015,0
zcrm_1920545000009241008,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:46,zcrm_1920545000003520015,0
zcrm_1920545000009382021,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:46,zcrm_1920545000003520015,0
zcrm_1920545000011950016,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:21,zcrm_1920545000010805001,0
zcrm_1920545000012404004,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:46,zcrm_1920545000003520015,0
zcrm_1920545000012510016,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:39,zcrm_1920545000008325015,0
zcrm_1920545000013067050,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:21,zcrm_1920545000010805001,0
zcrm_1920545000013429004,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:46,zcrm_1920545000003520015,0
zcrm_1920545000013481042,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:39,zcrm_1920545000008325015,0
zcrm_1920545000014314112,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:46,zcrm_1920545000003520015,0
zcrm_1920545000014477004,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:06,zcrm_1920545000012241022,0
zcrm_1920545000014607028,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:20:48,zcrm_1920545000012991024,0
zcrm_1920545000014732108,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:21:27,zcrm_1920545000012978001,0
zcrm_1920545000014732125,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:21,zcrm_1920545000010805001,0
zcrm_1920545000014904126,zcrm_1920545000011572075,,0,zcrm_1920545000000097003,2019-02-20 18:22:46,zcrm_1920545000003520015,0
zcrm_1920545000038770062,zcrm_1920545000011572075,,0,zcrm_1920545000008345001,2021-06-25 20:34:23,zcrm_1920545000038770025,0
zcrm_1920545000031842016,zcrm_1920545000022219003,,0,zcrm_1920545000016756022,2020-12-16 18:49:59,zcrm_1920545000029889112,0
zcrm_1920545000031936001,zcrm_1920545000022219003,,0,zcrm_1920545000016756022,2020-12-16 18:49:59,zcrm_1920545000029889112,0
zcrm_1920545000036820034,zcrm_1920545000022219003,,0,zcrm_1920545000001530001,2021-04-20 12:34:39,zcrm_1920545000029889112,0
zcrm_1920545000038488035,zcrm_1920545000022219003,,0,zcrm_1920545000001530001,2021-06-12 19:44:37,zcrm_1920545000018589023,0
