Sticky Id,Created by ID,Content,Created Time,Modified Time,Sticky Properties,Instance Id,Login Notify
zcrm_1920545000001396003,zcrm_1920545000000172001,,2017-06-08 23:59:00,2017-06-08 23:59:00,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000001396005,zcrm_1920545000000240001,,2017-06-08 23:59:00,2017-06-08 23:59:00,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000001396007,zcrm_1920545000000243011,,2017-06-08 23:59:00,2017-06-08 23:59:00,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000001396009,zcrm_1920545000000366006,,2017-06-08 23:59:00,2017-06-08 23:59:00,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000001396011,zcrm_1920545000000366012,,2017-06-08 23:59:00,2017-06-08 23:59:00,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000001396015,zcrm_1920545000000992001,,2017-06-08 23:59:00,2017-06-08 23:59:00,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000001396017,zcrm_1920545000001029001,,2017-06-08 23:59:00,2017-06-08 23:59:00,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000001396019,zcrm_1920545000001284001,,2017-06-08 23:59:00,2017-06-08 23:59:00,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000001687041,zcrm_1920545000001530001,,2017-07-10 23:56:28,2017-07-10 23:56:28,"{""leftPos"":100,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":300,""heightParent"":200,""topPos"":30}",,false
zcrm_1920545000001789007,zcrm_1920545000001530001,,2017-07-18 04:24:45,2017-07-18 04:24:45,"{""leftPos"":100,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":300,""heightParent"":200,""topPos"":30}",,false
zcrm_1920545000002296044,zcrm_1920545000002263009,,2017-08-24 03:17:44,2017-08-24 03:17:44,"{""leftPos"":100,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":300,""heightParent"":200,""topPos"":30}",,false
zcrm_1920545000005552112,zcrm_1920545000000097003,,2018-03-14 07:29:41,2018-03-14 07:29:41,"{""leftPos"":100,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":300,""heightParent"":200,""topPos"":30}",,false
zcrm_1920545000006352058,zcrm_1920545000001670001,,2018-04-18 00:51:01,2018-04-18 00:51:01,"{""leftPos"":100,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":300,""heightParent"":200,""topPos"":30}",,false
zcrm_1920545000012347025,zcrm_1920545000011016001,,2018-10-17 02:11:24,2018-11-16 18:07:07,"{""leftPos"":100,""color"":""ping"",""dataCollapse"":""sncollapseIn"",""widthParent"":300,""heightParent"":200,""topPos"":30}",,false
zcrm_1920545000016258022,zcrm_1920545000016250029,,2019-03-01 23:43:00,2019-03-01 23:43:00,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000016873080,zcrm_1920545000016873076,,2019-03-27 20:44:07,2019-03-27 20:44:07,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000017374001,zcrm_1920545000017129001,,2019-04-10 01:55:02,2019-04-10 01:55:02,"{""leftPos"":100,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":300,""heightParent"":200,""topPos"":30}",,false
zcrm_1920545000018425005,zcrm_1920545000018425001,,2019-05-23 20:13:59,2019-05-23 20:13:59,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000019402101,zcrm_1920545000019402097,,2019-07-02 01:50:07,2019-07-02 01:50:07,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000019402111,zcrm_1920545000019402107,,2019-07-02 02:56:01,2019-07-02 02:56:01,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000020152005,zcrm_1920545000020152001,,2019-07-24 01:31:08,2019-07-24 01:31:08,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000024339001,zcrm_1920545000016756022,,2019-12-28 11:11:20,2019-12-28 03:11:23,"{""leftPos"":100,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":300,""heightParent"":200,""topPos"":30}",,false
zcrm_1920545000024857006,zcrm_1920545000024857001,,2020-01-17 01:38:37,2020-01-17 01:38:37,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
zcrm_1920545000026568006,zcrm_1920545000026568001,,2020-03-20 21:29:24,2020-03-20 21:29:24,"{""leftPos"":100,""firstSticky"":true,""color"":"""",""dataCollapse"":""sncollapseOut"",""widthParent"":600,""heightParent"":360,""topPos"":30}",,false
