Date,India,Andhra Pradesh,Arunachal Pradesh,Assam,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Chandigarh,Delhi,Puducherry
2001,2097726.0,156711.0,2104.0,38313.0,7097.0,123573.0,65505.0,17148.0,18039.0,112847.0,77924.0,86745.0,273188.0,3369.0,4478.0,1947.0,3972.0,79611.0,91771.0,1136.0,148861.0,156711.0,6370.0,190269.0,15144.0,157144.0,5490.0,65027.0,4259.0
2002,2261415.0,167096.0,2071.0,43407.0,8100.0,141534.0,72528.0,18905.0,20326.0,120889.0,86895.0,86832.0,299479.0,3506.0,4763.0,2166.0,4467.0,82249.0,88550.0,1276.0,158155.0,167096.0,6733.0,206855.0,18473.0,168000.0,6453.0,71361.0,4931.0
2003,2538170.0,190017.0,2368.0,47305.0,9301.0,168080.0,82862.0,20721.0,22194.0,130990.0,96698.0,102839.0,340600.0,3979.0,5280.0,2325.0,4812.0,90089.0,111606.0,1430.0,175371.0,190017.0,7551.0,226972.0,20439.0,189259.0,7419.0,79468.0,5438.0
2004,2971464.0,224713.0,3488.0,53398.0,12713.0,203373.0,95795.0,24077.0,27305.0,166747.0,119264.0,112927.0,415480.0,5133.0,6559.0,2682.0,5839.0,96839.0,127746.0,1739.0,219003.0,224713.0,8904.0,260841.0,24786.0,208656.0,8504.0,100325.0,5754.0
2005,3390503.0,255941.0,3755.0,59385.0,14327.0,244736.0,108885.0,27127.0,29920.0,195904.0,136842.0,124276.0,486766.0,5718.0,7265.0,2971.0,6588.0,108637.0,142236.0,1993.0,257833.0,255941.0,9826.0,293172.0,29968.0,230245.0,10185.0,115374.0,7977.0
2006,3953276.0,301035.0,4108.0,64692.0,16523.0,283693.0,128732.0,30274.0,33230.0,227237.0,153758.0,144577.0,584498.0,6137.0,8625.0,3290.0,7257.0,127123.0,171043.0,2161.0,310526.0,301035.0,10914.0,336317.0,36795.0,261682.0,12276.0,135584.0,8335.0
2007,4582086.0,364813.0,4810.0,71076.0,19565.0,329285.0,151596.0,33963.0,37099.0,270629.0,175141.0,161479.0,684817.0,6783.0,9735.0,3816.0,8075.0,152245.0,194822.0,2506.0,350819.0,364813.0,11797.0,383026.0,45856.0,299483.0,13669.0,157947.0,9251.0
2008,5303567.0,426765.0,5687.0,81074.0,25414.0,367912.0,182522.0,41483.0,42315.0,310312.0,202783.0,197276.0,753969.0,7399.0,11617.0,4577.0,9436.0,174039.0,230949.0,3229.0,401336.0,426765.0,13573.0,444685.0,56025.0,341942.0,15334.0,189553.0,10050.0
2009,6108903.0,476835.0,7474.0,95975.0,29126.0,431262.0,223600.0,48189.0,48385.0,337559.0,231999.0,227984.0,855751.0,8254.0,12709.0,5260.0,10527.0,197500.0,265825.0,6133.0,479733.0,476835.0,15403.0,523394.0,70730.0,398880.0,17717.0,219753.0,12304.0
2010,7248860.0,583762.0,9013.0,112688.0,33605.0,521519.0,260621.0,57452.0,58073.0,410703.0,263773.0,263396.0,1035086.0,9137.0,14583.0,6388.0,11759.0,226204.0,338348.0,7412.0,584896.0,583762.0,17868.0,600164.0,83969.0,460959.0,20017.0,252753.0,13092.0
2011,8736039.0,379402.0,11063.0,143175.0,42367.0,615606.0,297539.0,72720.0,78256.0,606048.0,364048.0,315562.0,1280369.0,12915.0,19918.0,7259.0,12177.0,266628.0,434837.0,11165.0,751486.0,359434.0,19208.0,724050.0,115328.0,520485.0,18768.0,343798.0,16818.0
2012,9946636.0,411404.0,12547.0,156864.0,38120.0,724495.0,347032.0,82820.0,87138.0,695413.0,412313.0,380925.0,1459629.0,13743.0,21872.0,8362.0,14121.0,297734.0,493551.0,12338.0,854825.0,401594.0,21663.0,822393.0,131613.0,591464.0,21609.0,391388.0,18875.0
2013,11236635.0,464272.0,14581.0,177745.0,35921.0,807623.0,399268.0,94764.0,95619.0,816666.0,465041.0,439483.0,1649647.0,16182.0,22938.0,10293.0,16612.0,332147.0,561031.0,13862.0,968530.0,451580.0,25593.0,940356.0,149074.0,676848.0,24822.0,443960.0,21870.0
2014,12433749.0,524976.0,17959.0,195723.0,47814.0,921773.0,437145.0,103772.0,98370.0,913923.0,512564.0,479939.0,1779138.0,18129.0,23235.0,13509.0,18401.0,355102.0,615642.0,15407.0,1072678.0,505849.0,29533.0,1011790.0,161439.0,718082.0,26549.0,494803.0,22574.0
2015,13675331.0,604229.0,18509.0,227959.0,55054.0,1029010.0,495249.0,114239.0,117168.0,1045168.0,561994.0,541189.0,1966147.0,19531.0,25117.0,15139.0,19524.0,390087.0,681485.0,18034.0,1176500.0,577902.0,35938.0,1137210.0,177163.0,797300.0,29280.0,550804.0,26617.0
2016,15251028.0,697508.0,19627.0,254478.0,63460.0,1153327.0,556325.0,125634.0,125379.0,1209136.0,634871.0,648849.0,2188532.0,21294.0,27439.0,17192.0,21722.0,426988.0,758809.0,20687.0,1302639.0,659033.0,39612.0,1248374.0,195125.0,872527.0,32741.0,615605.0,29573.0
2017,17095005.0,809547.0,22045.0,288494.0,70493.0,1314680.0,626054.0,140613.0,138488.0,1350257.0,700532.0,728242.0,2411600.0,23968.0,30790.0,19457.0,24281.0,479141.0,835558.0,23495.0,1461841.0,753811.0,46133.0,1376324.0,222836.0,999585.0,38806.0,690098.0,32962.0
2018,19010164.0,933402.0,24603.0,315881.0,77172.0,1499013.0,707126.0,153181.0,155956.0,1535224.0,875514.0,809327.0,2656551.0,27870.0,33481.0,22287.0,27283.0,521861.0,929124.0,26786.0,1664159.0,865688.0,49845.0,1542432.0,245895.0,1177586.0,42114.0,779652.0,36656.0
2019,20279687.426524367,989848.598151569,26206.48297998844,338703.0514798185,82724.68759892594,1601358.268411541,755386.4193557943,163667.1084119115,165701.8696438887,1647950.1315852478,924215.9136023822,870078.883933672,2831817.443296866,29548.76361698145,35468.12291009063,23967.5926487517,28948.463001547974,555131.5460391795,991544.9832759072,28805.518143773992,1772585.8346250055,915263.3473520492,53755.04284495951,1640387.5815899775,263095.98733028,1246297.965528376,44993.18950810144,832772.0628048952,39129.21384015128
2020,21703156.709098976,1062300.5878152698,28022.743738552097,363003.0635780247,88606.15391611317,1722409.7871045028,811093.7074686075,174775.85250050627,177079.80498470133,1776439.0509539412,998007.6011636622,936153.755792838,3023206.0289773326,31698.15430422235,37657.07787990397,25900.26729832689,30915.92927963659,591150.5156496159,1060759.5611923924,31113.69573022841,1901490.627756262,979308.428642478,57758.53517128508,1752961.178999232,281918.00527302915,1338669.413024522,48113.56079156297,893991.9523452322,41887.96496041629
2021,23126625.991673585,1134752.5774789704,29839.00449711576,387303.0756762308,94487.62023330036,1843461.305797465,866800.9955814207,185884.596589101,188457.74032551397,1904927.9703226343,1071799.288724942,1002228.627652004,3214594.614657799,33847.54499146325,39846.03284971731,27832.941947902076,32883.395557725205,627169.4852600521,1129974.1391088776,33421.873316682824,2030395.4208875184,1043353.5099329068,61762.02749761066,1865534.776408487,300740.0232157783,1431040.8605206686,51233.93207502452,955211.8418855694,44646.71608068129
2022,24550095.274248198,1207204.567142671,31655.265255679427,411603.087774437,100369.08655048758,1964512.8244904263,922508.283694234,196993.34067769576,199835.6756663265,2033416.889691328,1145590.976286222,1068303.4995111702,3405983.2003382654,35996.93567870415,42034.98781953065,29765.61659747726,34850.86183581382,663188.4548704885,1199188.717025363,35730.05090313724,2159300.2140187747,1107398.5912233358,65765.51982393624,1978108.3738177412,319562.0411585274,1523412.3080168148,54354.30335848606,1016431.7314259064,47405.4672009463
2023,25973564.556822803,1279656.5568063715,33471.52601424309,435903.0998726432,106250.5528676748,2085564.3431833885,978215.5718070472,208102.08476629056,211213.61100713917,2161905.8090600213,1219382.663847502,1134378.371370336,3597371.786018732,38146.326365945046,44223.94278934399,31698.29124705245,36818.32811390244,699207.4244809247,1268403.294941848,38038.22848959166,2288205.007150031,1171443.6725137648,69769.01215026181,2090681.9712269965,338384.05910127657,1615783.7555129612,57474.6746419476,1077651.6209662436,50164.21832121132
