State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
India,0.429,0.433,0.441,0.446,0.453,0.461,0.469,0.474,0.481,0.489,0.494,0.5,0.506,0.52,0.527,0.536,0.545,0.554,0.563,0.568,0.579,0.587,0.596,0.605,0.616,0.624,0.63,0.64,0.643,0.646
Andhra Pradesh,0.422,0.426,0.433,0.437,0.442,0.448,0.454,0.457,0.462,0.468,0.475,0.483,0.492,0.507,0.516,0.528,0.539,0.55,0.559,0.565,0.578,0.587,0.597,0.606,0.618,0.627,0.633,0.644,0.646,0.649
Arunachal Pradesh,0.436,0.44,0.447,0.454,0.461,0.469,0.477,0.482,0.489,0.497,0.5,0.504,0.508,0.52,0.525,0.532,0.538,0.566,0.592,0.613,0.639,0.662,0.685,0.677,0.67,0.66,0.644,0.655,0.657,0.661
Assam,0.408,0.412,0.419,0.426,0.435,0.444,0.454,0.461,0.47,0.479,0.485,0.491,0.498,0.511,0.519,0.528,0.537,0.544,0.551,0.555,0.564,0.57,0.578,0.584,0.59,0.595,0.598,0.608,0.61,0.613
Chandigarth,0.627,0.633,0.643,0.639,0.637,0.636,0.635,0.632,0.631,0.632,0.633,0.636,0.639,0.65,0.654,0.66,0.665,0.661,0.657,0.648,0.648,0.643,0.64,0.671,0.703,0.732,0.758,0.77,0.772,0.776
Goa,0.552,0.557,0.567,0.57,0.575,0.581,0.588,0.592,0.597,0.604,0.613,0.622,0.631,0.649,0.658,0.671,0.683,0.698,0.712,0.721,0.737,0.749,0.762,0.76,0.758,0.753,0.745,0.756,0.759,0.763
Gujarat,0.469,0.473,0.481,0.485,0.49,0.495,0.502,0.506,0.511,0.518,0.525,0.532,0.539,0.553,0.561,0.571,0.581,0.587,0.593,0.596,0.604,0.609,0.616,0.627,0.639,0.649,0.656,0.667,0.669,0.672
Haryana,0.465,0.469,0.477,0.485,0.494,0.504,0.514,0.522,0.531,0.541,0.547,0.552,0.559,0.573,0.579,0.589,0.598,0.607,0.617,0.622,0.633,0.641,0.65,0.661,0.674,0.684,0.691,0.702,0.705,0.708
Himachal Pradesh,0.478,0.482,0.491,0.502,0.515,0.528,0.542,0.553,0.566,0.58,0.587,0.596,0.605,0.622,0.631,0.643,0.655,0.658,0.661,0.66,0.666,0.669,0.672,0.682,0.694,0.702,0.708,0.719,0.721,0.725
Jammu and Kashmir,0.493,0.497,0.506,0.506,0.508,0.51,0.513,0.513,0.515,0.518,0.526,0.535,0.545,0.562,0.572,0.586,0.597,0.609,0.62,0.627,0.64,0.65,0.66,0.664,0.67,0.672,0.672,0.682,0.685,0.688
Karnataka,0.442,0.447,0.454,0.461,0.468,0.477,0.485,0.492,0.5,0.509,0.515,0.522,0.53,0.544,0.553,0.564,0.573,0.582,0.59,0.594,0.604,0.611,0.619,0.631,0.646,0.657,0.667,0.677,0.68,0.683
Kerala,0.545,0.55,0.56,0.561,0.565,0.569,0.573,0.576,0.579,0.584,0.598,0.611,0.625,0.647,0.661,0.679,0.695,0.701,0.706,0.707,0.716,0.719,0.725,0.736,0.748,0.757,0.763,0.775,0.778,0.782
Madhya Pradesh,0.403,0.406,0.414,0.418,0.423,0.429,0.435,0.439,0.444,0.45,0.455,0.461,0.467,0.48,0.488,0.497,0.506,0.514,0.521,0.525,0.535,0.542,0.549,0.559,0.571,0.581,0.588,0.598,0.6,0.603
Maharashtra,0.493,0.497,0.506,0.511,0.517,0.524,0.531,0.536,0.542,0.55,0.556,0.562,0.569,0.584,0.591,0.601,0.61,0.62,0.628,0.633,0.644,0.651,0.659,0.666,0.673,0.678,0.68,0.691,0.694,0.697
Manipur,0.494,0.499,0.508,0.512,0.518,0.525,0.533,0.538,0.544,0.552,0.557,0.563,0.568,0.581,0.587,0.596,0.604,0.624,0.644,0.66,0.681,0.697,0.717,0.709,0.702,0.692,0.68,0.691,0.694,0.697
Meghalaya,0.455,0.46,0.468,0.466,0.467,0.467,0.467,0.465,0.465,0.465,0.473,0.482,0.492,0.508,0.518,0.53,0.542,0.562,0.582,0.597,0.619,0.636,0.654,0.652,0.65,0.646,0.64,0.65,0.652,0.656
Mizoram,0.526,0.531,0.54,0.541,0.544,0.547,0.551,0.552,0.554,0.558,0.568,0.577,0.588,0.605,0.616,0.629,0.642,0.653,0.665,0.672,0.686,0.694,0.706,0.703,0.7,0.695,0.688,0.699,0.701,0.704
Nagaland,0.533,0.538,0.547,0.541,0.537,0.533,0.53,0.524,0.52,0.517,0.521,0.525,0.53,0.542,0.547,0.555,0.562,0.588,0.612,0.633,0.66,0.681,0.705,0.697,0.688,0.677,0.663,0.673,0.676,0.679
New Delhi,0.577,0.583,0.592,0.6,0.609,0.619,0.63,0.639,0.648,0.659,0.663,0.666,0.669,0.68,0.683,0.69,0.695,0.7,0.704,0.703,0.709,0.71,0.713,0.719,0.725,0.728,0.729,0.74,0.743,0.746
Puducherry,0.713,0.717,0.725,0.727,0.725,0.724,0.724,0.722,0.722,0.723,0.725,0.728,0.732,0.744,0.747,0.754,0.76,0.756,0.752,0.743,0.742,0.737,0.734,0.733,0.732,0.729,0.722,0.734,0.736,0.74
Punjab,0.496,0.5,0.509,0.517,0.526,0.535,0.545,0.553,0.562,0.572,0.577,0.581,0.587,0.599,0.605,0.614,0.621,0.631,0.64,0.645,0.656,0.664,0.672,0.682,0.693,0.701,0.707,0.718,0.72,0.724
Rajasthan,0.401,0.404,0.411,0.418,0.425,0.433,0.44,0.446,0.453,0.46,0.465,0.471,0.477,0.49,0.497,0.507,0.515,0.523,0.531,0.535,0.546,0.554,0.561,0.574,0.589,0.602,0.613,0.623,0.625,0.628
Sikkim,0.538,0.543,0.552,0.548,0.546,0.545,0.544,0.541,0.54,0.54,0.546,0.552,0.559,0.573,0.58,0.59,0.598,0.608,0.617,0.622,0.632,0.64,0.647,0.661,0.677,0.69,0.7,0.711,0.713,0.717
Tamil Nadu,0.47,0.474,0.483,0.488,0.495,0.503,0.511,0.517,0.524,0.532,0.54,0.549,0.558,0.575,0.585,0.598,0.61,0.62,0.629,0.634,0.646,0.655,0.664,0.672,0.681,0.688,0.692,0.703,0.705,0.709
Telangana,0.616,0.622,0.632,0.628,0.626,0.624,0.624,0.621,0.62,0.62,0.622,0.624,0.627,0.638,0.642,0.648,0.653,0.649,0.645,0.637,0.636,0.632,0.629,0.635,0.643,0.649,0.652,0.663,0.665,0.669
Tripura,0.444,0.449,0.456,0.465,0.475,0.486,0.496,0.505,0.515,0.526,0.529,0.532,0.536,0.547,0.552,0.559,0.565,0.577,0.587,0.594,0.607,0.617,0.627,0.632,0.638,0.641,0.642,0.652,0.655,0.658
Uttar Pradesh,0.393,0.397,0.404,0.41,0.418,0.426,0.433,0.439,0.446,0.454,0.459,0.465,0.471,0.484,0.491,0.5,0.509,0.515,0.521,0.524,0.532,0.537,0.543,0.553,0.564,0.572,0.579,0.589,0.591,0.594
Uttaranchal,0.621,0.627,0.636,0.633,0.63,0.629,0.628,0.624,0.623,0.623,0.624,0.626,0.63,0.641,0.645,0.652,0.657,0.653,0.648,0.639,0.638,0.634,0.631,0.641,0.652,0.661,0.667,0.677,0.68,0.683
West Bengal,0.439,0.443,0.451,0.457,0.464,0.471,0.479,0.484,0.491,0.499,0.503,0.507,0.512,0.523,0.529,0.537,0.543,0.551,0.558,0.562,0.571,0.577,0.584,0.595,0.607,0.617,0.625,0.635,0.638,0.641
